meter_id,timestamp,location_city,location_district,location_gps,measurements_voltage_v,measurements_current_a,measurements_active_power_kw,measurements_power_factor,measurements_frequency_hz,measurements_total_energy_kwh,status_code,status_message,status_battery_level
LCL-004,2012-01-01 01:00:00,London,Hackney,"51.545,-0.055",230.0,0.378,0.0846,0.95,50.0,2456.156,0,OK,100
LCL-005,2012-01-01 01:00:00,London,Islington,"51.538,-0.103",230.0,0.743,0.1563,0.95,50.0,1490.506,0,OK,100
LCL-006,2012-01-01 01:00:00,London,Chelsea,"51.487,-0.168",230.0,0.626,0.1345,0.95,50.0,2651.071,0,OK,100
LCL-007,2012-01-01 01:00:00,London,Kensington,"51.501,-0.193",230.0,0.965,0.2109,0.95,49.99,1861.382,0,OK,100
LCL-008,2012-01-01 01:00:00,London,Hammersmith,"51.492,-0.223",230.0,0.645,0.1364,0.95,49.99,3253.686,0,OK,100
LCL-009,2012-01-01 01:00:00,London,Fulham,"51.478,-0.196",230.0,0.61,0.1341,0.95,50.01,2315.466,0,OK,100
LCL-010,2012-01-01 01:00:00,London,Brixton,"51.462,-0.116",230.0,0.876,0.1829,0.95,49.99,1777.347,0,OK,100
LCL-001,2012-01-01 01:30:00,London,Camden,"51.536,-0.142",230.0,0.114,0.0253,0.95,50.01,3760.345,0,OK,100
LCL-002,2012-01-01 01:30:00,London,Westminster,"51.497,-0.135",230.0,0.598,0.1259,0.95,50.02,4098.415,0,OK,100
LCL-003,2012-01-01 01:30:00,London,Greenwich,"51.482,0.007",230.0,0.355,0.0785,0.95,49.99,1146.629,0,OK,100
LCL-004,2012-01-01 01:30:00,London,Hackney,"51.545,-0.055",230.0,0.266,0.0606,0.95,49.98,2456.186,0,OK,100
LCL-005,2012-01-01 01:30:00,London,Islington,"51.538,-0.103",230.0,0.678,0.1484,0.95,50.01,1490.58,0,OK,100
LCL-006,2012-01-01 01:30:00,London,Chelsea,"51.487,-0.168",230.0,0.706,0.1494,0.95,50.0,2651.146,0,OK,100
LCL-007,2012-01-01 01:30:00,London,Kensington,"51.501,-0.193",230.0,0.629,0.1386,0.95,50.02,1861.451,0,OK,100
LCL-008,2012-01-01 01:30:00,London,Hammersmith,"51.492,-0.223",230.0,0.48,0.0997,0.95,49.98,3253.736,0,OK,100
LCL-009,2012-01-01 01:30:00,London,Fulham,"51.478,-0.196",230.0,0.926,0.197,0.95,50.01,2315.564,0,OK,100
LCL-010,2012-01-01 01:30:00,London,Brixton,"51.462,-0.116",230.0,0.239,0.0505,0.95,49.99,1777.372,0,OK,100
LCL-001,2012-01-01 02:00:00,London,Camden,"51.536,-0.142",230.0,0.871,0.184,0.95,50.0,3760.437,0,OK,100
LCL-002,2012-01-01 02:00:00,London,Westminster,"51.497,-0.135",230.0,0.834,0.1758,0.95,50.0,4098.503,0,OK,100
LCL-003,2012-01-01 02:00:00,London,Greenwich,"51.482,0.007",230.0,1.069,0.2296,0.95,49.98,1146.744,0,OK,100
LCL-004,2012-01-01 02:00:00,London,Hackney,"51.545,-0.055",230.0,0.238,0.05,0.95,50.0,2456.211,0,OK,100
LCL-005,2012-01-01 02:00:00,London,Islington,"51.538,-0.103",230.0,0.507,0.1119,0.95,49.98,1490.636,0,OK,100
LCL-006,2012-01-01 02:00:00,London,Chelsea,"51.487,-0.168",230.0,0.1,0.0216,0.95,50.01,2651.157,0,OK,100
LCL-007,2012-01-01 02:00:00,London,Kensington,"51.501,-0.193",230.0,0.121,0.0264,0.95,49.99,1861.464,0,OK,100
LCL-008,2012-01-01 02:00:00,London,Hammersmith,"51.492,-0.223",230.0,0.922,0.1965,0.95,50.0,3253.834,0,OK,100
LCL-009,2012-01-01 02:00:00,London,Fulham,"51.478,-0.196",230.0,0.587,0.1287,0.95,49.98,2315.629,0,OK,100
LCL-010,2012-01-01 02:00:00,London,Brixton,"51.462,-0.116",230.0,0.162,0.0348,0.95,50.01,1777.389,0,OK,100
LCL-001,2012-01-01 02:30:00,London,Camden,"51.536,-0.142",230.0,0.861,0.1796,0.95,50.0,3760.527,0,OK,100
LCL-002,2012-01-01 02:30:00,London,Westminster,"51.497,-0.135",230.0,0.69,0.1452,0.95,49.99,4098.576,0,OK,100
LCL-003,2012-01-01 02:30:00,London,Greenwich,"51.482,0.007",230.0,0.1,0.0225,0.95,50.01,1146.755,0,OK,100
LCL-004,2012-01-01 02:30:00,London,Hackney,"51.545,-0.055",230.0,0.602,0.1269,0.95,49.99,2456.274,0,OK,100
LCL-005,2012-01-01 02:30:00,London,Islington,"51.538,-0.103",230.0,0.656,0.1491,0.95,49.99,1490.711,0,OK,100
LCL-006,2012-01-01 02:30:00,London,Chelsea,"51.487,-0.168",230.0,0.1,0.0224,0.95,49.99,2651.168,0,OK,100
LCL-007,2012-01-01 02:30:00,London,Kensington,"51.501,-0.193",230.0,0.944,0.2008,0.95,50.01,1861.565,0,OK,100
LCL-008,2012-01-01 02:30:00,London,Hammersmith,"51.492,-0.223",230.0,0.389,0.0857,0.95,49.99,3253.877,0,OK,100
LCL-009,2012-01-01 02:30:00,London,Fulham,"51.478,-0.196",230.0,0.241,0.0509,0.95,50.01,2315.654,0,OK,100
LCL-010,2012-01-01 02:30:00,London,Brixton,"51.462,-0.116",230.0,0.539,0.1174,0.95,49.99,1777.448,0,OK,100
LCL-001,2012-01-01 03:00:00,London,Camden,"51.536,-0.142",230.0,0.149,0.0316,0.95,50.02,3760.543,0,OK,100
LCL-002,2012-01-01 03:00:00,London,Westminster,"51.497,-0.135",230.0,0.437,0.0994,0.95,49.99,4098.626,0,OK,100
LCL-003,2012-01-01 03:00:00,London,Greenwich,"51.482,0.007",230.0,0.837,0.1744,0.95,49.99,1146.842,0,OK,100
LCL-004,2012-01-01 03:00:00,London,Hackney,"51.545,-0.055",230.0,0.1,0.0222,0.95,49.99,2456.286,0,OK,100
LCL-005,2012-01-01 03:00:00,London,Islington,"51.538,-0.103",230.0,0.368,0.0777,0.95,49.99,1490.75,0,OK,100
LCL-006,2012-01-01 03:00:00,London,Chelsea,"51.487,-0.168",230.0,0.1,0.021,0.95,49.99,2651.179,0,OK,100
LCL-007,2012-01-01 03:00:00,London,Kensington,"51.501,-0.193",230.0,0.901,0.2051,0.95,50.01,1861.667,0,OK,100
LCL-008,2012-01-01 03:00:00,London,Hammersmith,"51.492,-0.223",230.0,0.983,0.2173,0.95,50.01,3253.986,0,OK,100
LCL-009,2012-01-01 03:00:00,London,Fulham,"51.478,-0.196",230.0,0.332,0.0757,0.95,49.99,2315.692,0,OK,100
LCL-010,2012-01-01 03:00:00,London,Brixton,"51.462,-0.116",230.0,0.588,0.1322,0.95,50.01,1777.514,0,OK,100
LCL-001,2012-01-01 03:30:00,London,Camden,"51.536,-0.142",230.0,1.057,0.2218,0.95,50.02,3760.654,0,OK,100
LCL-002,2012-01-01 03:30:00,London,Westminster,"51.497,-0.135",230.0,0.471,0.1002,0.95,50.0,4098.676,0,OK,100
LCL-003,2012-01-01 03:30:00,London,Greenwich,"51.482,0.007",230.0,0.316,0.0704,0.95,49.99,1146.877,0,OK,100
LCL-004,2012-01-01 03:30:00,London,Hackney,"51.545,-0.055",230.0,0.1,0.0209,0.95,49.99,2456.296,0,OK,100
LCL-005,2012-01-01 03:30:00,London,Islington,"51.538,-0.103",230.0,0.337,0.0748,0.95,50.01,1490.787,0,OK,100
LCL-006,2012-01-01 03:30:00,London,Chelsea,"51.487,-0.168",230.0,0.748,0.1637,0.95,50.01,2651.26,0,OK,100
LCL-007,2012-01-01 03:30:00,London,Kensington,"51.501,-0.193",230.0,0.76,0.1729,0.95,49.99,1861.754,0,OK,100
LCL-008,2012-01-01 03:30:00,London,Hammersmith,"51.492,-0.223",230.0,0.767,0.1698,0.95,49.98,3254.07,0,OK,100
LCL-009,2012-01-01 03:30:00,London,Fulham,"51.478,-0.196",230.0,1.04,0.2189,0.95,49.99,2315.801,0,OK,100
LCL-010,2012-01-01 03:30:00,London,Brixton,"51.462,-0.116",230.0,0.231,0.0514,0.95,49.99,1777.54,0,OK,100
LCL-001,2012-01-01 04:00:00,London,Camden,"51.536,-0.142",230.0,0.695,0.1539,0.95,49.99,3760.73,0,OK,100
LCL-002,2012-01-01 04:00:00,London,Westminster,"51.497,-0.135",230.0,0.534,0.1214,0.95,50.02,4098.736,0,OK,100
LCL-003,2012-01-01 04:00:00,London,Greenwich,"51.482,0.007",230.0,0.261,0.0572,0.95,50.0,1146.906,0,OK,100
LCL-004,2012-01-01 04:00:00,London,Hackney,"51.545,-0.055",230.0,0.775,0.1775,0.95,50.0,2456.385,0,OK,100
LCL-005,2012-01-01 04:00:00,London,Islington,"51.538,-0.103",230.0,0.726,0.161,0.95,49.99,1490.868,0,OK,100
LCL-006,2012-01-01 04:00:00,London,Chelsea,"51.487,-0.168",230.0,0.1,0.0216,0.95,49.98,2651.271,0,OK,100
LCL-007,2012-01-01 04:00:00,London,Kensington,"51.501,-0.193",230.0,0.226,0.0506,0.95,49.99,1861.779,0,OK,100
LCL-008,2012-01-01 04:00:00,London,Hammersmith,"51.492,-0.223",230.0,0.637,0.1409,0.95,49.99,3254.141,0,OK,100
LCL-009,2012-01-01 04:00:00,London,Fulham,"51.478,-0.196",230.0,0.365,0.0828,0.95,50.0,2315.843,0,OK,100
LCL-010,2012-01-01 04:00:00,London,Brixton,"51.462,-0.116",230.0,0.282,0.0637,0.95,50.02,1777.572,0,OK,100
LCL-001,2012-01-01 04:30:00,London,Camden,"51.536,-0.142",230.0,0.289,0.0616,0.95,49.99,3760.761,0,OK,100
LCL-002,2012-01-01 04:30:00,London,Westminster,"51.497,-0.135",230.0,0.685,0.1496,0.95,49.98,4098.811,0,OK,100
LCL-003,2012-01-01 04:30:00,London,Greenwich,"51.482,0.007",230.0,0.747,0.1707,0.95,50.01,1146.991,0,OK,100
LCL-004,2012-01-01 04:30:00,London,Hackney,"51.545,-0.055",230.0,0.194,0.0441,0.95,50.01,2456.407,0,OK,100
LCL-005,2012-01-01 04:30:00,London,Islington,"51.538,-0.103",230.0,0.344,0.0772,0.95,50.01,1490.906,0,OK,100
LCL-006,2012-01-01 04:30:00,London,Chelsea,"51.487,-0.168",230.0,0.279,0.0618,0.95,49.99,2651.302,0,OK,100
LCL-007,2012-01-01 04:30:00,London,Kensington,"51.501,-0.193",230.0,0.907,0.1952,0.95,50.0,1861.877,0,OK,100
LCL-008,2012-01-01 04:30:00,London,Hammersmith,"51.492,-0.223",230.0,1.074,0.2399,0.95,50.01,3254.261,0,OK,100
LCL-009,2012-01-01 04:30:00,London,Fulham,"51.478,-0.196",230.0,0.483,0.1083,0.95,50.0,2315.897,0,OK,100
LCL-010,2012-01-01 04:30:00,London,Brixton,"51.462,-0.116",230.0,0.1,0.0215,0.95,49.98,1777.583,0,OK,100
LCL-001,2012-01-01 05:00:00,London,Camden,"51.536,-0.142",230.0,0.336,0.0721,0.95,50.01,3760.797,0,OK,100
LCL-002,2012-01-01 05:00:00,London,Westminster,"51.497,-0.135",230.0,1.156,0.2446,0.95,50.01,4098.933,0,OK,100
LCL-003,2012-01-01 05:00:00,London,Greenwich,"51.482,0.007",230.0,0.744,0.1588,0.95,50.02,1147.071,0,OK,100
LCL-004,2012-01-01 05:00:00,London,Hackney,"51.545,-0.055",230.0,0.38,0.0836,0.95,49.98,2456.449,0,OK,100
LCL-005,2012-01-01 05:00:00,London,Islington,"51.538,-0.103",230.0,0.406,0.0844,0.95,50.0,1490.949,0,OK,100
LCL-006,2012-01-01 05:00:00,London,Chelsea,"51.487,-0.168",230.0,0.1,0.0217,0.95,50.01,2651.313,0,OK,100
LCL-007,2012-01-01 05:00:00,London,Kensington,"51.501,-0.193",230.0,0.316,0.0687,0.95,50.0,1861.911,0,OK,100
LCL-008,2012-01-01 05:00:00,London,Hammersmith,"51.492,-0.223",230.0,0.791,0.1696,0.95,50.0,3254.346,0,OK,100
LCL-009,2012-01-01 05:00:00,London,Fulham,"51.478,-0.196",230.0,0.36,0.0768,0.95,50.01,2315.935,0,OK,100
LCL-010,2012-01-01 05:00:00,London,Brixton,"51.462,-0.116",230.0,0.342,0.0718,0.95,50.0,1777.618,0,OK,100
LCL-001,2012-01-01 05:30:00,London,Camden,"51.536,-0.142",230.0,0.604,0.1301,0.95,49.99,3760.862,0,OK,100
LCL-002,2012-01-01 05:30:00,London,Westminster,"51.497,-0.135",230.0,1.225,0.2727,0.95,49.99,4099.07,0,OK,100
LCL-003,2012-01-01 05:30:00,London,Greenwich,"51.482,0.007",230.0,0.763,0.1643,0.95,49.99,1147.153,0,OK,100
LCL-004,2012-01-01 05:30:00,London,Hackney,"51.545,-0.055",230.0,0.1,0.0208,0.95,50.02,2456.459,0,OK,100
LCL-005,2012-01-01 05:30:00,London,Islington,"51.538,-0.103",230.0,0.74,0.1589,0.95,50.01,1491.028,0,OK,100
LCL-006,2012-01-01 05:30:00,London,Chelsea,"51.487,-0.168",230.0,0.547,0.1136,0.95,50.0,2651.37,0,OK,100
LCL-007,2012-01-01 05:30:00,London,Kensington,"51.501,-0.193",230.0,0.721,0.152,0.95,50.0,1861.987,0,OK,100
LCL-008,2012-01-01 05:30:00,London,Hammersmith,"51.492,-0.223",230.0,0.49,0.1044,0.95,50.0,3254.398,0,OK,100
LCL-009,2012-01-01 05:30:00,London,Fulham,"51.478,-0.196",230.0,0.802,0.1822,0.95,49.98,2316.026,0,OK,100
LCL-010,2012-01-01 05:30:00,London,Brixton,"51.462,-0.116",230.0,0.26,0.0564,0.95,50.02,1777.647,0,OK,100
LCL-001,2012-01-01 06:00:00,London,Camden,"51.536,-0.142",230.0,4.707,1.0241,0.95,49.98,3761.374,0,OK,100
LCL-002,2012-01-01 06:00:00,London,Westminster,"51.497,-0.135",230.0,4.25,0.9665,0.95,50.01,4099.553,0,OK,100
LCL-003,2012-01-01 06:00:00,London,Greenwich,"51.482,0.007",230.0,1.993,0.4244,0.95,49.98,1147.365,0,OK,100
LCL-004,2012-01-01 06:00:00,London,Hackney,"51.545,-0.055",230.0,2.7,0.5974,0.95,50.0,2456.758,0,OK,100
LCL-005,2012-01-01 06:00:00,London,Islington,"51.538,-0.103",230.0,4.645,0.9806,0.95,49.99,1491.518,0,OK,100
LCL-006,2012-01-01 06:00:00,London,Chelsea,"51.487,-0.168",230.0,3.667,0.7963,0.95,49.98,2651.768,0,OK,100
LCL-007,2012-01-01 06:00:00,London,Kensington,"51.501,-0.193",230.0,2.564,0.5641,0.95,49.99,1862.269,0,OK,100
LCL-008,2012-01-01 06:00:00,London,Hammersmith,"51.492,-0.223",230.0,1.834,0.4166,0.95,49.99,3254.606,0,OK,100
LCL-009,2012-01-01 06:00:00,London,Fulham,"51.478,-0.196",230.0,3.93,0.8435,0.95,49.99,2316.448,0,OK,100
LCL-010,2012-01-01 06:00:00,London,Brixton,"51.462,-0.116",230.0,4.777,1.0654,0.95,50.02,1778.179,0,OK,100
LCL-001,2012-01-01 06:30:00,London,Camden,"51.536,-0.142",230.0,2.298,0.4964,0.95,49.98,3761.623,0,OK,100
LCL-002,2012-01-01 06:30:00,London,Westminster,"51.497,-0.135",230.0,5.072,1.1604,0.95,49.99,4100.133,0,OK,100
LCL-003,2012-01-01 06:30:00,London,Greenwich,"51.482,0.007",230.0,3.086,0.6502,0.95,50.0,1147.69,0,OK,100
LCL-004,2012-01-01 06:30:00,London,Hackney,"51.545,-0.055",230.0,2.743,0.6275,0.95,49.99,2457.071,0,OK,100
LCL-005,2012-01-01 06:30:00,London,Islington,"51.538,-0.103",230.0,4.543,0.9503,0.95,49.99,1491.993,0,OK,100
LCL-006,2012-01-01 06:30:00,London,Chelsea,"51.487,-0.168",230.0,3.838,0.8475,0.95,49.99,2652.192,0,OK,100
LCL-007,2012-01-01 06:30:00,London,Kensington,"51.501,-0.193",230.0,3.525,0.7629,0.95,50.0,1862.651,0,OK,100
LCL-008,2012-01-01 06:30:00,London,Hammersmith,"51.492,-0.223",230.0,4.856,1.0459,0.95,50.0,3255.129,0,OK,100
LCL-009,2012-01-01 06:30:00,London,Fulham,"51.478,-0.196",230.0,4.578,0.9842,0.95,50.02,2316.94,0,OK,100
LCL-010,2012-01-01 06:30:00,London,Brixton,"51.462,-0.116",230.0,3.35,0.7141,0.95,49.99,1778.536,0,OK,100
LCL-001,2012-01-01 07:00:00,London,Camden,"51.536,-0.142",230.0,3.909,0.8954,0.95,50.0,3762.07,0,OK,100
LCL-002,2012-01-01 07:00:00,London,Westminster,"51.497,-0.135",230.0,3.571,0.8051,0.95,50.0,4100.536,0,OK,100
LCL-003,2012-01-01 07:00:00,London,Greenwich,"51.482,0.007",230.0,2.454,0.5196,0.95,50.0,1147.95,0,OK,100
LCL-004,2012-01-01 07:00:00,London,Hackney,"51.545,-0.055",230.0,2.113,0.4742,0.95,49.98,2457.309,0,OK,100
LCL-005,2012-01-01 07:00:00,London,Islington,"51.538,-0.103",230.0,4.245,0.9125,0.95,49.99,1492.45,0,OK,100
LCL-006,2012-01-01 07:00:00,London,Chelsea,"51.487,-0.168",230.0,4.159,0.904,0.95,50.01,2652.644,0,OK,100
LCL-007,2012-01-01 07:00:00,London,Kensington,"51.501,-0.193",230.0,1.961,0.4402,0.95,49.99,1862.871,0,OK,100
LCL-008,2012-01-01 07:00:00,London,Hammersmith,"51.492,-0.223",230.0,4.127,0.8591,0.95,49.99,3255.559,0,OK,100
LCL-009,2012-01-01 07:00:00,London,Fulham,"51.478,-0.196",230.0,3.724,0.8329,0.95,50.01,2317.357,0,OK,100
LCL-010,2012-01-01 07:00:00,London,Brixton,"51.462,-0.116",230.0,2.449,0.5563,0.95,50.0,1778.815,0,OK,100
LCL-001,2012-01-01 07:30:00,London,Camden,"51.536,-0.142",230.0,2.622,0.561,0.95,50.01,3762.351,0,OK,100
LCL-002,2012-01-01 07:30:00,London,Westminster,"51.497,-0.135",230.0,4.457,0.9982,0.95,49.99,4101.035,0,OK,100
LCL-003,2012-01-01 07:30:00,London,Greenwich,"51.482,0.007",230.0,3.066,0.6369,0.95,50.01,1148.269,0,OK,100
LCL-004,2012-01-01 07:30:00,London,Hackney,"51.545,-0.055",230.0,4.388,0.9464,0.95,50.01,2457.782,0,OK,100
LCL-005,2012-01-01 07:30:00,London,Islington,"51.538,-0.103",230.0,2.53,0.5397,0.95,50.02,1492.72,0,OK,100
LCL-006,2012-01-01 07:30:00,London,Chelsea,"51.487,-0.168",230.0,2.744,0.6151,0.95,49.99,2652.951,0,OK,100
LCL-007,2012-01-01 07:30:00,London,Kensington,"51.501,-0.193",230.0,3.761,0.8144,0.95,49.99,1863.278,0,OK,100
LCL-008,2012-01-01 07:30:00,London,Hammersmith,"51.492,-0.223",230.0,4.354,0.9648,0.95,49.98,3256.041,0,OK,100
LCL-009,2012-01-01 07:30:00,London,Fulham,"51.478,-0.196",230.0,4.164,0.9274,0.95,49.98,2317.82,0,OK,100
LCL-010,2012-01-01 07:30:00,London,Brixton,"51.462,-0.116",230.0,4.607,0.9875,0.95,50.01,1779.308,0,OK,100
LCL-001,2012-01-01 08:00:00,London,Camden,"51.536,-0.142",230.0,2.085,0.4465,0.95,49.99,3762.574,0,OK,100
LCL-002,2012-01-01 08:00:00,London,Westminster,"51.497,-0.135",230.0,4.261,0.9712,0.95,50.01,4101.521,0,OK,100
LCL-003,2012-01-01 08:00:00,London,Greenwich,"51.482,0.007",230.0,2.449,0.509,0.95,50.0,1148.523,0,OK,100
LCL-004,2012-01-01 08:00:00,London,Hackney,"51.545,-0.055",230.0,4.034,0.8963,0.95,50.01,2458.23,0,OK,100
LCL-005,2012-01-01 08:00:00,London,Islington,"51.538,-0.103",230.0,1.885,0.4293,0.95,49.98,1492.934,0,OK,100
LCL-006,2012-01-01 08:00:00,London,Chelsea,"51.487,-0.168",230.0,5.122,1.0889,0.95,50.0,2653.496,0,OK,100
LCL-007,2012-01-01 08:00:00,London,Kensington,"51.501,-0.193",230.0,2.374,0.541,0.95,49.98,1863.548,0,OK,100
LCL-008,2012-01-01 08:00:00,London,Hammersmith,"51.492,-0.223",230.0,3.99,0.8333,0.95,49.98,3256.458,0,OK,100
LCL-009,2012-01-01 08:00:00,London,Fulham,"51.478,-0.196",230.0,2.626,0.5495,0.95,50.0,2318.095,0,OK,100
LCL-010,2012-01-01 08:00:00,London,Brixton,"51.462,-0.116",230.0,4.591,0.971,0.95,49.99,1779.794,0,OK,100
LCL-001,2012-01-01 08:30:00,London,Camden,"51.536,-0.142",230.0,3.379,0.7115,0.95,50.01,3762.93,0,OK,100
LCL-002,2012-01-01 08:30:00,London,Westminster,"51.497,-0.135",230.0,3.531,0.7782,0.95,49.99,4101.91,0,OK,100
LCL-003,2012-01-01 08:30:00,London,Greenwich,"51.482,0.007",230.0,2.014,0.4532,0.95,50.02,1148.75,0,OK,100
LCL-004,2012-01-01 08:30:00,London,Hackney,"51.545,-0.055",230.0,2.675,0.5923,0.95,49.99,2458.526,0,OK,100
LCL-005,2012-01-01 08:30:00,London,Islington,"51.538,-0.103",230.0,2.413,0.5068,0.95,50.01,1493.188,0,OK,100
LCL-006,2012-01-01 08:30:00,London,Chelsea,"51.487,-0.168",230.0,2.313,0.4919,0.95,49.98,2653.742,0,OK,100
LCL-007,2012-01-01 08:30:00,London,Kensington,"51.501,-0.193",230.0,4.224,0.9651,0.95,49.99,1864.031,0,OK,100
LCL-008,2012-01-01 08:30:00,London,Hammersmith,"51.492,-0.223",230.0,2.417,0.5401,0.95,50.02,3256.728,0,OK,100
LCL-009,2012-01-01 08:30:00,London,Fulham,"51.478,-0.196",230.0,2.337,0.5102,0.95,50.0,2318.35,0,OK,100
LCL-010,2012-01-01 08:30:00,London,Brixton,"51.462,-0.116",230.0,3.261,0.7259,0.95,49.99,1780.157,0,OK,100
LCL-001,2012-01-01 09:00:00,London,Camden,"51.536,-0.142",230.0,2.886,0.6571,0.95,49.99,3763.258,0,OK,100
LCL-002,2012-01-01 09:00:00,London,Westminster,"51.497,-0.135",230.0,2.255,0.5171,0.95,49.98,4102.168,0,OK,100
LCL-003,2012-01-01 09:00:00,London,Greenwich,"51.482,0.007",230.0,4.62,1.0017,0.95,49.99,1149.25,0,OK,100
LCL-004,2012-01-01 09:00:00,London,Hackney,"51.545,-0.055",230.0,4.541,0.9499,0.95,50.0,2459.001,0,OK,100
LCL-005,2012-01-01 09:00:00,London,Islington,"51.538,-0.103",230.0,2.299,0.4904,0.95,50.0,1493.433,0,OK,100
LCL-006,2012-01-01 09:00:00,London,Chelsea,"51.487,-0.168",230.0,3.55,0.8014,0.95,50.01,2654.142,0,OK,100
LCL-007,2012-01-01 09:00:00,London,Kensington,"51.501,-0.193",230.0,4.016,0.8684,0.95,49.99,1864.465,0,OK,100
LCL-008,2012-01-01 09:00:00,London,Hammersmith,"51.492,-0.223",230.0,3.163,0.7074,0.95,50.0,3257.081,0,OK,100
LCL-009,2012-01-01 09:00:00,London,Fulham,"51.478,-0.196",230.0,3.123,0.6681,0.95,50.02,2318.684,0,OK,100
LCL-010,2012-01-01 09:00:00,London,Brixton,"51.462,-0.116",230.0,3.303,0.6942,0.95,50.01,1780.504,0,OK,100
LCL-001,2012-01-01 09:30:00,London,Camden,"51.536,-0.142",230.0,2.254,0.477,0.95,50.01,3763.497,0,OK,100
LCL-002,2012-01-01 09:30:00,London,Westminster,"51.497,-0.135",230.0,4.943,1.0452,0.95,49.99,4102.691,0,OK,100
LCL-003,2012-01-01 09:30:00,London,Greenwich,"51.482,0.007",230.0,3.572,0.7606,0.95,49.99,1149.631,0,OK,100
LCL-004,2012-01-01 09:30:00,London,Hackney,"51.545,-0.055",230.0,2.066,0.4416,0.95,49.99,2459.222,0,OK,100
LCL-005,2012-01-01 09:30:00,London,Islington,"51.538,-0.103",230.0,5.015,1.1477,0.95,49.98,1494.007,0,OK,100
LCL-006,2012-01-01 09:30:00,London,Chelsea,"51.487,-0.168",230.0,3.78,0.8067,0.95,49.99,2654.546,0,OK,100
LCL-007,2012-01-01 09:30:00,London,Kensington,"51.501,-0.193",230.0,4.916,1.1031,0.95,50.01,1865.017,0,OK,100
LCL-008,2012-01-01 09:30:00,London,Hammersmith,"51.492,-0.223",230.0,3.508,0.7773,0.95,50.01,3257.47,0,OK,100
LCL-009,2012-01-01 09:30:00,London,Fulham,"51.478,-0.196",230.0,2.987,0.6611,0.95,49.99,2319.015,0,OK,100
